transaction_id,account_id,applicant_id,date,description,amount,raw_type,balance_after,true_category
TX-001-00031,AC-001-CUR,APP-001,2026-02-10,SAINSBURYS,-79.0,DEB,1501.05,groceries
TX-001-00041,AC-001-CUR,APP-001,2026-02-12,JUST EAT,-28.16,DEB,1472.89,dining
TX-001-00039,AC-001-CUR,APP-001,2026-02-13,SPOTIFY,-12.85,DEB,1460.04,subscriptions
TX-001-00045,AC-001-CUR,APP-001,2026-02-13,AMAZON.CO.UK,-61.96,DEB,1398.08,shopping
TX-001-00035,AC-001-CUR,APP-001,2026-02-16,SHELL FUEL,-54.92,DEB,1343.16,transport
TX-001-00032,AC-001-CUR,APP-001,2026-02-17,TESCO STORES,-103.46,DEB,1239.7,groceries
TX-001-00046,AC-001-CUR,APP-001,2026-02-18,ARGOS,-73.97,DEB,1165.73,shopping
TX-001-00036,AC-001-CUR,APP-001,2026-02-21,TRAINLINE,-56.05,DEB,1109.68,transport
TX-001-00033,AC-001-CUR,APP-001,2026-02-24,MORRISONS,-107.21,DEB,1002.47,groceries
TX-001-00044,AC-001-CUR,APP-001,2026-02-24,EBAY,-73.58,DEB,928.89,shopping
TX-001-00038,AC-001-CUR,APP-001,2026-02-25,NETFLIX.COM,-8.21,DEB,920.68,subscriptions
TX-001-00040,AC-001-CUR,APP-001,2026-02-25,JUST EAT,-17.2,DEB,903.48,dining
TX-001-00047,AC-001-CUR,APP-001,2026-02-26,MONZO POT,-300.0,TFR,603.48,savings
TX-001-00024,AC-001-CUR,APP-001,2026-02-28,CARE STAFFING PARTTIME SALARY,4338.08,BGC,4941.56,income
TX-001-00049,AC-001-CUR,APP-001,2026-03-01,MORTGAGE NATWEST,-1100.0,DD,3841.56,rent_mortgage
TX-001-00054,AC-001-CUR,APP-001,2026-03-03,MORRISONS,-104.43,DEB,3737.13,groceries
TX-001-00059,AC-001-CUR,APP-001,2026-03-03,TFL TRAVEL,-47.29,DEB,3689.84,transport
TX-001-00050,AC-001-CUR,APP-001,2026-03-05,OCTOPUS ENERGY,-105.0,DD,3584.84,utilities
TX-001-00051,AC-001-CUR,APP-001,2026-03-06,BRITISH GAS,-70.0,DD,3514.84,utilities
TX-001-00052,AC-001-CUR,APP-001,2026-03-07,CITY COUNCIL TAX,-160.0,DD,3354.84,council_tax
TX-001-00058,AC-001-CUR,APP-001,2026-03-07,TRAINLINE,-43.53,DEB,3311.31,transport
TX-001-00060,AC-001-CUR,APP-001,2026-03-09,TFL TRAVEL,-60.95,DEB,3250.36,transport
TX-001-00066,AC-001-CUR,APP-001,2026-03-09,JUST EAT,-27.4,DEB,3222.96,dining
TX-001-00053,AC-001-CUR,APP-001,2026-03-10,DIRECT LINE INSURANCE,-70.0,DD,3152.96,insurance
TX-001-00055,AC-001-CUR,APP-001,2026-03-10,SAINSBURYS,-116.05,DEB,3036.91,groceries
TX-001-00068,AC-001-CUR,APP-001,2026-03-10,PRET A MANGER,-11.72,DEB,3025.19,dining
TX-001-00069,AC-001-CUR,APP-001,2026-03-13,ARGOS,-36.44,DEB,2988.75,shopping
TX-001-00062,AC-001-CUR,APP-001,2026-03-15,NETFLIX.COM,-6.6,DEB,2982.15,subscriptions
TX-001-00063,AC-001-CUR,APP-001,2026-03-15,NANDOS,-34.01,DEB,2948.14,dining
TX-001-00070,AC-001-CUR,APP-001,2026-03-16,EBAY,-32.99,DEB,2915.15,shopping
TX-001-00056,AC-001-CUR,APP-001,2026-03-17,SAINSBURYS,-108.51,DEB,2806.64,groceries
TX-001-00065,AC-001-CUR,APP-001,2026-03-21,ZTL*STREETFOOD LDN,-11.89,DEB,2794.75,dining
TX-001-00067,AC-001-CUR,APP-001,2026-03-22,GREGGS,-15.22,DEB,2779.53,dining
TX-001-00057,AC-001-CUR,APP-001,2026-03-24,TESCO STORES,-128.85,DEB,2650.68,groceries
TX-001-00061,AC-001-CUR,APP-001,2026-03-24,SPOTIFY,-12.39,DEB,2638.29,subscriptions
TX-001-00064,AC-001-CUR,APP-001,2026-03-24,GREGGS,-9.8,DEB,2628.49,dining
TX-001-00071,AC-001-CUR,APP-001,2026-03-25,ODEON,-17.29,DEB,2611.2,entertainment
TX-001-00072,AC-001-CUR,APP-001,2026-03-26,TRANSFER TO SAVINGS,-300.0,TFR,2311.2,savings
TX-001-00048,AC-001-CUR,APP-001,2026-03-28,ACME LTD SALARY,4162.76,BGC,6473.96,income
TX-001-00074,AC-001-CUR,APP-001,2026-04-01,RENT LETTINGS DIRECT,-1100.0,DD,5373.96,rent_mortgage
TX-001-00079,AC-001-CUR,APP-001,2026-04-03,LIDL,-110.31,DEB,5263.65,groceries
TX-001-00090,AC-001-CUR,APP-001,2026-04-03,JUST EAT,-31.64,DEB,5232.01,dining
TX-001-00093,AC-001-CUR,APP-001,2026-04-04,PRET A MANGER,-19.17,DEB,5212.84,dining
TX-001-00075,AC-001-CUR,APP-001,2026-04-05,OCTOPUS ENERGY,-105.0,DD,5107.84,utilities
TX-001-00076,AC-001-CUR,APP-001,2026-04-06,OCTOPUS ENERGY,-70.0,DD,5037.84,utilities
TX-001-00088,AC-001-CUR,APP-001,2026-04-06,AMAZON PRIME,-11.62,DEB,5026.22,subscriptions
TX-001-00077,AC-001-CUR,APP-001,2026-04-07,CITY COUNCIL TAX,-160.0,DD,4866.22,council_tax
TX-001-00087,AC-001-CUR,APP-001,2026-04-07,AMAZON PRIME,-11.7,DEB,4854.52,subscriptions
TX-001-00095,AC-001-CUR,APP-001,2026-04-09,AMAZON.CO.UK,-15.86,DEB,4838.66,shopping
TX-001-00078,AC-001-CUR,APP-001,2026-04-10,DIRECT LINE INSURANCE,-70.0,DD,4768.66,insurance
TX-001-00080,AC-001-CUR,APP-001,2026-04-10,SUMUP *CORNER MART,-104.83,DEB,4663.83,groceries
TX-001-00091,AC-001-CUR,APP-001,2026-04-10,DELIVEROO,-24.72,DEB,4639.11,dining
TX-001-00092,AC-001-CUR,APP-001,2026-04-12,JUST EAT,-31.0,DEB,4608.11,dining
TX-001-00089,AC-001-CUR,APP-001,2026-04-13,SPOTIFY,-12.17,DEB,4595.94,subscriptions
TX-001-00094,AC-001-CUR,APP-001,2026-04-14,JUST EAT,-11.62,DEB,4584.32,dining
TX-001-00086,AC-001-CUR,APP-001,2026-04-15,STAGECOACH BUS,-42.66,DEB,4541.66,transport
TX-001-00081,AC-001-CUR,APP-001,2026-04-17,LIDL,-99.96,DEB,4441.7,groceries
TX-001-00084,AC-001-CUR,APP-001,2026-04-17,TRAINLINE,-53.88,DEB,4387.82,transport
TX-001-00083,AC-001-CUR,APP-001,2026-04-20,SHELL FUEL,-45.52,DEB,4342.3,transport
TX-001-00096,AC-001-CUR,APP-001,2026-04-21,CRV*ONLINE RETAIL 5512,-88.08,DEB,4254.22,shopping
TX-001-00085,AC-001-CUR,APP-001,2026-04-23,TRAINLINE,-36.71,DEB,4217.51,transport
TX-001-00082,AC-001-CUR,APP-001,2026-04-24,ASDA SUPERSTORE,-112.48,DEB,4105.03,groceries
TX-001-00097,AC-001-CUR,APP-001,2026-04-26,H AND M,-55.2,DEB,4049.83,shopping
TX-001-00098,AC-001-CUR,APP-001,2026-04-26,TRANSFER TO SAVINGS,-300.0,TFR,3749.83,savings
TX-001-00073,AC-001-CUR,APP-001,2026-04-28,CARE STAFFING PARTTIME SALARY,4276.97,BGC,8026.8,income
TX-001-00100,AC-001-CUR,APP-001,2026-05-01,RENT LETTINGS DIRECT,-1100.0,DD,6926.8,rent_mortgage
TX-001-00105,AC-001-CUR,APP-001,2026-05-03,SAINSBURYS,-70.13,DEB,6856.67,groceries
TX-001-00101,AC-001-CUR,APP-001,2026-05-05,OCTOPUS ENERGY,-105.0,DD,6751.67,utilities
TX-001-00120,AC-001-CUR,APP-001,2026-05-05,AMAZON.CO.UK,-36.88,DEB,6714.79,shopping
TX-001-00102,AC-001-CUR,APP-001,2026-05-06,BRITISH GAS,-70.0,DD,6644.79,utilities
TX-001-00118,AC-001-CUR,APP-001,2026-05-06,JUST EAT,-31.5,DEB,6613.29,dining
TX-001-00103,AC-001-CUR,APP-001,2026-05-07,LB COUNCIL TAX,-160.0,DD,6453.29,council_tax
TX-001-00119,AC-001-CUR,APP-001,2026-05-08,NANDOS,-26.18,DEB,6427.11,dining
TX-001-00104,AC-001-CUR,APP-001,2026-05-10,AVIVA INSURANCE,-70.0,DD,6357.11,insurance
TX-001-00106,AC-001-CUR,APP-001,2026-05-10,LIDL,-90.9,DEB,6266.21,groceries
TX-001-00113,AC-001-CUR,APP-001,2026-05-10,SPOTIFY,-12.21,DEB,6254.0,subscriptions
TX-001-00117,AC-001-CUR,APP-001,2026-05-16,JUST EAT,-20.1,DEB,6233.9,dining
TX-001-00107,AC-001-CUR,APP-001,2026-05-17,ALDI,-83.05,DEB,6150.85,groceries
TX-001-00115,AC-001-CUR,APP-001,2026-05-18,PRET A MANGER,-12.15,DEB,6138.7,dining
TX-001-00121,AC-001-CUR,APP-001,2026-05-19,EBAY,-66.87,DEB,6071.83,shopping
TX-001-00122,AC-001-CUR,APP-001,2026-05-19,ODEON,-13.31,DEB,6058.52,entertainment
TX-001-00109,AC-001-CUR,APP-001,2026-05-20,TFL TRAVEL,-47.36,DEB,6011.16,transport
TX-001-00110,AC-001-CUR,APP-001,2026-05-22,SHELL FUEL,-54.46,DEB,5956.7,transport
TX-001-00111,AC-001-CUR,APP-001,2026-05-23,TFL TRAVEL,-55.73,DEB,5900.97,transport
TX-001-00112,AC-001-CUR,APP-001,2026-05-23,NETFLIX.COM,-12.4,DEB,5888.57,subscriptions
TX-001-00116,AC-001-CUR,APP-001,2026-05-23,DELIVEROO,-25.91,DEB,5862.66,dining
TX-001-00108,AC-001-CUR,APP-001,2026-05-24,SAINSBURYS,-120.81,DEB,5741.85,groceries
TX-001-00114,AC-001-CUR,APP-001,2026-05-25,DISNEY PLUS,-8.85,DEB,5733.0,subscriptions
TX-001-00123,AC-001-CUR,APP-001,2026-05-26,TRANSFER TO SAVINGS,-300.0,TFR,5433.0,savings
TX-001-00099,AC-001-CUR,APP-001,2026-05-28,ACME LTD SALARY,4317.27,BGC,9750.27,income
TX-001-00125,AC-001-CUR,APP-001,2026-06-01,RENT PROPERTYCO,-1100.0,DD,8650.27,rent_mortgage
TX-001-00142,AC-001-CUR,APP-001,2026-06-01,DELIVEROO,-14.11,DEB,8636.16,dining
TX-001-00136,AC-001-CUR,APP-001,2026-06-02,IZ *AIRPORT PARKING,-43.34,DEB,8592.82,transport
TX-001-00130,AC-001-CUR,APP-001,2026-06-03,SAINSBURYS,-111.75,DEB,8481.07,groceries
TX-001-00138,AC-001-CUR,APP-001,2026-06-03,SPOTIFY,-10.61,DEB,8470.46,subscriptions
TX-001-00126,AC-001-CUR,APP-001,2026-06-05,VODAFONE MOBILE,-105.0,DD,8365.46,utilities
TX-001-00139,AC-001-CUR,APP-001,2026-06-05,JUST EAT,-8.31,DEB,8357.15,dining
TX-001-00127,AC-001-CUR,APP-001,2026-06-06,BT BROADBAND,-70.0,DD,8287.15,utilities
TX-001-00128,AC-001-CUR,APP-001,2026-06-07,LB COUNCIL TAX,-160.0,DD,8127.15,council_tax
TX-001-00137,AC-001-CUR,APP-001,2026-06-07,AMAZON PRIME,-9.05,DEB,8118.1,subscriptions
TX-001-00143,AC-001-CUR,APP-001,2026-06-09,ASOS,-40.29,DEB,8077.81,shopping
TX-001-00129,AC-001-CUR,APP-001,2026-06-10,ADMIRAL INSURANCE,-70.0,DD,8007.81,insurance
TX-001-00131,AC-001-CUR,APP-001,2026-06-10,CRV*4419 STORE 88 LEEDS,-110.17,DEB,7897.64,groceries
TX-001-00141,AC-001-CUR,APP-001,2026-06-11,JUST EAT,-8.48,DEB,7889.16,dining
TX-001-00135,AC-001-CUR,APP-001,2026-06-13,SUMUP *CITYCABS,-47.17,DEB,7841.99,transport
TX-001-00140,AC-001-CUR,APP-001,2026-06-16,DELIVEROO,-31.38,DEB,7810.61,dining
TX-001-00132,AC-001-CUR,APP-001,2026-06-17,ASDA SUPERSTORE,-104.1,DEB,7706.51,groceries
TX-001-00133,AC-001-CUR,APP-001,2026-06-24,LIDL,-112.24,DEB,7594.27,groceries
TX-001-00144,AC-001-CUR,APP-001,2026-06-24,ODEON,-19.7,DEB,7574.57,entertainment
TX-001-00134,AC-001-CUR,APP-001,2026-06-25,STAGECOACH BUS,-42.91,DEB,7531.66,transport
TX-001-00145,AC-001-CUR,APP-001,2026-06-26,TRANSFER TO SAVINGS,-300.0,TFR,7231.66,savings
TX-001-00124,AC-001-CUR,APP-001,2026-06-28,NORTHWIND PLC SALARY,4301.09,BGC,11532.75,income
TX-002-00002,AC-002-CUR,APP-002,2026-01-01,RENT PROPERTYCO,-980.0,DD,-575.47,rent_mortgage
TX-002-00019,AC-002-CUR,APP-002,2026-01-01,PRET A MANGER,-8.84,DEB,-584.31,dining
TX-002-00020,AC-002-CUR,APP-002,2026-01-01,H AND M,-75.8,DEB,-660.11,shopping
TX-002-00016,AC-002-CUR,APP-002,2026-01-02,NETFLIX.COM,-10.75,DEB,-670.86,subscriptions
TX-002-00007,AC-002-CUR,APP-002,2026-01-03,ALDI,-92.85,DEB,-763.71,groceries
TX-002-00021,AC-002-CUR,APP-002,2026-01-04,EBAY,-30.97,DEB,-794.68,shopping
TX-002-00003,AC-002-CUR,APP-002,2026-01-05,VODAFONE MOBILE,-90.0,DD,-884.68,utilities
TX-002-00004,AC-002-CUR,APP-002,2026-01-06,EDF ENERGY,-60.0,DD,-944.68,utilities
TX-002-00005,AC-002-CUR,APP-002,2026-01-07,CITY COUNCIL TAX,-140.0,DD,-1084.68,council_tax
TX-002-00006,AC-002-CUR,APP-002,2026-01-10,AVIVA INSURANCE,-55.0,DD,-1139.68,insurance
TX-002-00008,AC-002-CUR,APP-002,2026-01-10,LIDL,-107.17,DEB,-1246.85,groceries
TX-002-00017,AC-002-CUR,APP-002,2026-01-10,PRET A MANGER,-27.5,DEB,-1274.35,dining
TX-002-00015,AC-002-CUR,APP-002,2026-01-14,AMAZON PRIME,-11.33,DEB,-1285.68,subscriptions
TX-002-00013,AC-002-CUR,APP-002,2026-01-15,ZOPA LOAN,-150.0,DD,-1435.68,loan_repayment
TX-002-00018,AC-002-CUR,APP-002,2026-01-16,NANDOS,-15.95,DEB,-1451.63,dining
TX-002-00009,AC-002-CUR,APP-002,2026-01-17,SAINSBURYS,-88.08,DEB,-1539.71,groceries
TX-002-00014,AC-002-CUR,APP-002,2026-01-18,AMAZON PRIME,-9.07,DEB,-1548.78,subscriptions
TX-002-00010,AC-002-CUR,APP-002,2026-01-24,ALDI,-87.66,DEB,-1636.44,groceries
TX-002-00012,AC-002-CUR,APP-002,2026-01-24,STAGECOACH BUS,-42.72,DEB,-1679.16,transport
TX-002-00011,AC-002-CUR,APP-002,2026-01-25,STAGECOACH BUS,-47.12,DEB,-1726.28,transport
TX-002-00022,AC-002-CUR,APP-002,2026-01-26,TRANSFER TO SAVINGS,-120.0,TFR,-1846.28,savings
TX-002-00001,AC-002-CUR,APP-002,2026-01-28,NORTHWIND PLC SALARY,2795.01,BGC,948.73,income
TX-002-00024,AC-002-CUR,APP-002,2026-02-01,MORTGAGE NATWEST,-980.0,DD,-31.27,rent_mortgage
TX-002-00035,AC-002-CUR,APP-002,2026-02-01,STAGECOACH BUS,-34.01,DEB,-65.28,transport
TX-002-00029,AC-002-CUR,APP-002,2026-02-03,TESCO STORES,-69.75,DEB,-135.03,groceries
TX-002-00034,AC-002-CUR,APP-002,2026-02-03,STAGECOACH BUS,-47.93,DEB,-182.96,transport
TX-002-00038,AC-002-CUR,APP-002,2026-02-03,SPOTIFY,-8.4,DEB,-191.36,subscriptions
TX-002-00050,AC-002-CUR,APP-002,2026-02-03,ARGOS,-50.64,DEB,-242.0,shopping
TX-002-00045,AC-002-CUR,APP-002,2026-02-04,PRET A MANGER,-24.99,DEB,-266.99,dining
TX-002-00046,AC-002-CUR,APP-002,2026-02-04,PRET A MANGER,-22.94,DEB,-289.93,dining
TX-002-00025,AC-002-CUR,APP-002,2026-02-05,BRITISH GAS,-90.0,DD,-379.93,utilities
TX-002-00026,AC-002-CUR,APP-002,2026-02-06,BT BROADBAND,-60.0,DD,-439.93,utilities
TX-002-00049,AC-002-CUR,APP-002,2026-02-06,ARGOS,-42.92,DEB,-482.85,shopping
TX-002-00027,AC-002-CUR,APP-002,2026-02-07,LB COUNCIL TAX,-140.0,DD,-622.85,council_tax
TX-002-00051,AC-002-CUR,APP-002,2026-02-07,VUE CINEMA,-38.52,DEB,-661.37,entertainment
TX-002-00052,AC-002-CUR,APP-002,2026-02-09,VUE CINEMA,-35.79,DEB,-697.16,entertainment
TX-002-00028,AC-002-CUR,APP-002,2026-02-10,ADMIRAL INSURANCE,-55.0,DD,-752.16,insurance
TX-002-00030,AC-002-CUR,APP-002,2026-02-10,SAINSBURYS,-83.99,DEB,-836.15,groceries
TX-002-00042,AC-002-CUR,APP-002,2026-02-10,GREGGS,-18.65,DEB,-854.8,dining
TX-002-00044,AC-002-CUR,APP-002,2026-02-14,NANDOS,-31.7,DEB,-886.5,dining
TX-002-00037,AC-002-CUR,APP-002,2026-02-15,ZOPA LOAN,-150.0,DD,-1036.5,loan_repayment
TX-002-00031,AC-002-CUR,APP-002,2026-02-17,SAINSBURYS,-88.42,DEB,-1124.92,groceries
TX-002-00033,AC-002-CUR,APP-002,2026-02-17,TRAINLINE,-35.3,DEB,-1160.22,transport
TX-002-00048,AC-002-CUR,APP-002,2026-02-17,EBAY,-53.43,DEB,-1213.65,shopping
TX-002-00047,AC-002-CUR,APP-002,2026-02-18,ARGOS,-39.26,DEB,-1252.91,shopping
TX-002-00040,AC-002-CUR,APP-002,2026-02-19,AMAZON PRIME,-12.55,DEB,-1265.46,subscriptions
TX-002-00043,AC-002-CUR,APP-002,2026-02-21,DELIVEROO,-20.18,DEB,-1285.64,dining
TX-002-00036,AC-002-CUR,APP-002,2026-02-23,STAGECOACH BUS,-44.91,DEB,-1330.55,transport
TX-002-00041,AC-002-CUR,APP-002,2026-02-23,PRET A MANGER,-18.46,DEB,-1349.01,dining
TX-002-00032,AC-002-CUR,APP-002,2026-02-24,ASDA SUPERSTORE,-89.82,DEB,-1438.83,groceries
TX-002-00039,AC-002-CUR,APP-002,2026-02-26,AMAZON PRIME,-9.38,DEB,-1448.21,subscriptions
TX-002-00053,AC-002-CUR,APP-002,2026-02-26,MONZO POT,-120.0,TFR,-1568.21,savings
TX-002-00023,AC-002-CUR,APP-002,2026-02-28,NORTHWIND PLC SALARY,2803.09,BGC,1234.88,income
TX-002-00055,AC-002-CUR,APP-002,2026-03-01,RENT PROPERTYCO,-980.0,DD,254.88,rent_mortgage
TX-002-00075,AC-002-CUR,APP-002,2026-03-01,PRET A MANGER,-9.54,DEB,245.34,dining
TX-002-00060,AC-002-CUR,APP-002,2026-03-03,ASDA SUPERSTORE,-70.49,DEB,174.85,groceries
TX-002-00079,AC-002-CUR,APP-002,2026-03-04,ARGOS,-18.42,DEB,156.43,shopping
TX-002-00056,AC-002-CUR,APP-002,2026-03-05,BT BROADBAND,-90.0,DD,66.43,utilities
TX-002-00066,AC-002-CUR,APP-002,2026-03-05,SHELL FUEL,-37.52,DEB,28.91,transport
TX-002-00057,AC-002-CUR,APP-002,2026-03-06,VODAFONE MOBILE,-60.0,DD,-31.09,utilities
TX-002-00058,AC-002-CUR,APP-002,2026-03-07,CITY COUNCIL TAX,-140.0,DD,-171.09,council_tax
TX-002-00064,AC-002-CUR,APP-002,2026-03-07,STAGECOACH BUS,-48.39,DEB,-219.48,transport
TX-002-00059,AC-002-CUR,APP-002,2026-03-10,DIRECT LINE INSURANCE,-55.0,DD,-274.48,insurance
TX-002-00061,AC-002-CUR,APP-002,2026-03-10,ASDA SUPERSTORE,-79.86,DEB,-354.34,groceries
TX-002-00067,AC-002-CUR,APP-002,2026-03-10,STAGECOACH BUS,-42.13,DEB,-396.47,transport
TX-002-00069,AC-002-CUR,APP-002,2026-03-10,NETFLIX.COM,-10.38,DEB,-406.85,subscriptions
TX-002-00072,AC-002-CUR,APP-002,2026-03-11,PRET A MANGER,-14.01,DEB,-420.86,dining
TX-002-00070,AC-002-CUR,APP-002,2026-03-12,SPOTIFY,-11.2,DEB,-432.06,subscriptions
TX-002-00071,AC-002-CUR,APP-002,2026-03-12,PRET A MANGER,-22.45,DEB,-454.51,dining
TX-002-00073,AC-002-CUR,APP-002,2026-03-14,PRET A MANGER,-23.53,DEB,-478.04,dining
TX-002-00068,AC-002-CUR,APP-002,2026-03-15,ZOPA LOAN,-150.0,DD,-628.04,loan_repayment
TX-002-00062,AC-002-CUR,APP-002,2026-03-17,ASDA SUPERSTORE,-69.53,DEB,-697.57,groceries
TX-002-00074,AC-002-CUR,APP-002,2026-03-18,ZTL*STREETFOOD LDN,-30.44,DEB,-728.01,dining
TX-002-00078,AC-002-CUR,APP-002,2026-03-19,EBAY,-74.79,DEB,-802.8,shopping
TX-002-00081,AC-002-CUR,APP-002,2026-03-21,VUE CINEMA,-36.87,DEB,-839.67,entertainment
TX-002-00080,AC-002-CUR,APP-002,2026-03-22,H AND M,-82.88,DEB,-922.55,shopping
TX-002-00076,AC-002-CUR,APP-002,2026-03-23,DELIVEROO,-27.66,DEB,-950.21,dining
TX-002-00063,AC-002-CUR,APP-002,2026-03-24,TESCO STORES,-66.84,DEB,-1017.05,groceries
TX-002-00077,AC-002-CUR,APP-002,2026-03-24,H AND M,-33.2,DEB,-1050.25,shopping
TX-002-00065,AC-002-CUR,APP-002,2026-03-26,SHELL FUEL,-34.08,DEB,-1084.33,transport
TX-002-00082,AC-002-CUR,APP-002,2026-03-26,TRANSFER TO SAVINGS,-120.0,TFR,-1204.33,savings
TX-002-00054,AC-002-CUR,APP-002,2026-03-28,BLUEBIRD MEDIA PAYROLL,3003.82,BGC,1799.49,income
TX-002-00084,AC-002-CUR,APP-002,2026-04-01,MORTGAGE NATWEST,-980.0,DD,819.49,rent_mortgage
TX-002-00105,AC-002-CUR,APP-002,2026-04-02,H AND M,-32.8,DEB,786.69,shopping
TX-002-00089,AC-002-CUR,APP-002,2026-04-03,ALDI,-76.1,DEB,710.59,groceries
TX-002-00097,AC-002-CUR,APP-002,2026-04-03,AMAZON PRIME,-6.71,DEB,703.88,subscriptions
TX-002-00093,AC-002-CUR,APP-002,2026-04-04,SHELL FUEL,-39.1,DEB,664.78,transport
TX-002-00101,AC-002-CUR,APP-002,2026-04-04,PRET A MANGER,-31.77,DEB,633.01,dining
TX-002-00085,AC-002-CUR,APP-002,2026-04-05,VODAFONE MOBILE,-90.0,DD,543.01,utilities
TX-002-00086,AC-002-CUR,APP-002,2026-04-06,BRITISH GAS,-60.0,DD,483.01,utilities
TX-002-00087,AC-002-CUR,APP-002,2026-04-07,LB COUNCIL TAX,-140.0,DD,343.01,council_tax
TX-002-00088,AC-002-CUR,APP-002,2026-04-10,ADMIRAL INSURANCE,-55.0,DD,288.01,insurance
TX-002-00090,AC-002-CUR,APP-002,2026-04-10,ASDA SUPERSTORE,-94.77,DEB,193.24,groceries
TX-002-00104,AC-002-CUR,APP-002,2026-04-10,ASOS,-78.23,DEB,115.01,shopping
TX-002-00094,AC-002-CUR,APP-002,2026-04-12,TFL TRAVEL,-46.35,DEB,68.66,transport
TX-002-00103,AC-002-CUR,APP-002,2026-04-13,DELIVEROO,-15.5,DEB,53.16,dining
TX-002-00096,AC-002-CUR,APP-002,2026-04-15,LENDINGCO REPAYMENT,-150.0,DD,-96.84,loan_repayment
TX-002-00098,AC-002-CUR,APP-002,2026-04-15,NETFLIX.COM,-12.68,DEB,-109.52,subscriptions
TX-002-00091,AC-002-CUR,APP-002,2026-04-17,LIDL,-79.94,DEB,-189.46,groceries
TX-002-00095,AC-002-CUR,APP-002,2026-04-17,TFL TRAVEL,-51.41,DEB,-240.87,transport
TX-002-00102,AC-002-CUR,APP-002,2026-04-18,DELIVEROO,-17.42,DEB,-258.29,dining
